FILENAME,LIBRARY NAME,SUPPLIER,URL
CREAEthr_Aztec Death Whistle Distortion_02_IMA_Death Whistle Samples.wav,The Death Whistle,InMotionAudio,https://sonniss.com/sound-effects/the-death-whistle/
CREAEthr_Aztec Death Whistle Drone_05_InMotionAudio_Death Whistle Samples.wav,The Death Whistle,InMotionAudio,https://sonniss.com/sound-effects/the-death-whistle/
CREAEthr_Aztec Death Whistle DryPitch12_IMA_Death Whistle Samples.wav,The Death Whistle,InMotionAudio,https://sonniss.com/sound-effects/the-death-whistle/
DOORMetl_StairWellDoor01_InMotionAudio_USAHotel.wav,USA Hotel,InMotionAudio,https://sonniss.com/sound-effects/usa-hotel/
MECHClik_USALightSwitch_On05_InMotionAudio_USAHotel.wav,USA Hotel,InMotionAudio,https://sonniss.com/sound-effects/usa-hotel/
WATRPlmb_ToiletFlush01_InMotionAudio_USAHotel.wav,USA Hotel,InMotionAudio,https://sonniss.com/sound-effects/usa-hotel/
OBJTape_VelcroRip29_InMotionAudio_Velcro.wav,Velcro,InMotionAudio,https://sonniss.com/sound-effects/velcro/
OBJTape_VelcroSqueeze01_InMotionAudio_Velcro.wav,Velcro,InMotionAudio,https://sonniss.com/sound-effects/velcro/
FOLYMisc_WashingBasket_Pats&Movement12_InMotionAudio_WashingBasketFoley.wav,Washing Basket Foley,InMotionAudio,https://sonniss.com/sound-effects/washing-basket-foley/
FOLYMisc_WashingBasket_Pats&Movement43_InMotionAudio_WashingBasketFoley.wav,Washing Basket Foley,InMotionAudio,https://sonniss.com/sound-effects/washing-basket-foley/
"24 Campfire, Dropping Fresh Pine Branches in Fire, Crackling, Sizzling Strong, Close 02.wav",Campfire - Bonfire FX,Ivo Vicic,https://sonniss.com/sound-effects/campfire-bonfire-fx/
"42 Campfire, Putting Out Fire, Water from Bottle, Variation, Close.wav",Campfire - Bonfire FX,Ivo Vicic,https://sonniss.com/sound-effects/campfire-bonfire-fx/
"Camp fire, crackling, putting oil in fire, close, night_B-format, Ambix.wav",Campfire FX - Ambisonic,Ivo Vicic,https://sonniss.com/sound-effects/campfire-fx-ambisonic/
"04 Church Bells, Near Distance, In Church Tower-3 Different Bell 02.wav",Church Bells,Ivo Vicic,https://sonniss.com/sound-effects/church-bells/
"25 Church Bells, Far Distance, Rural Soundscape Distant, Hills Ridge, Spring 02.wav",Church Bells,Ivo Vicic,https://sonniss.com/sound-effects/church-bells/
02 Fireworks_ explosions_dense_whistles.wav,Fireworks FX,Ivo Vicic,https://sonniss.com/sound-effects/fireworks-fx/
13 Fireworks_powerful explosions_multiples in a row_near.wav,Fireworks FX,Ivo Vicic,https://sonniss.com/sound-effects/fireworks-fx/
"CRWDWalla_Pub Walla Atmos, Restaurant, Liverpool, Scouse,_Jake Fielding_11.wav",British Walla and Crowd,Jake Fielding,https://sonniss.com/sound-effects/british-walla-and-crowd/
"CRWDWalla_Pub Walla, Crowd, Bar, _Jake Fielding_British Walla and Crowd_14.wav",British Walla and Crowd,Jake Fielding,https://sonniss.com/sound-effects/british-walla-and-crowd/
"DSGNBram____Cinematic Horn Braam, Epic, Cinematic, Dark, Instrument, Huge-32.wav",Cinematic Horn Braams,Jake Fielding,https://sonniss.com/sound-effects/cinematic-horn-braams/
"DSGNBram____Cinematic Horn Braam, Epic, Cinematic, Dark, Instrument, Huge-67.wav",Cinematic Horn Braams,Jake Fielding,https://sonniss.com/sound-effects/cinematic-horn-braams/
"MACHAppl_Deep Fridge Hum, Buzz, Electric Tone, Deep_Jake Fielding_Fridge Hums Pt2.wav",Fridge Hums Vol.2,Jake Fielding,https://sonniss.com/sound-effects/fridge-hums-vol-2/
"MACHAppl_Rhythmic Electric Fridge Hum, Buzz, Static,_Jake Fielding_Fridge Hums Pt2.wav",Fridge Hums Vol.2,Jake Fielding,https://sonniss.com/sound-effects/fridge-hums-vol-2/
"HAIL_Hail on Door Window, UVPC_JF_INT Storm.wav",Interior Wind Rain and Storms,Jake Fielding,https://sonniss.com/sound-effects/interior-wind-rain-and-storms/
"RAINInt_Heavy Rain on Window,  Constant _JF_INT Storm.wav",Interior Wind Rain and Storms,Jake Fielding,https://sonniss.com/sound-effects/interior-wind-rain-and-storms/
THUN_Interior Thunder Rumble_JF_INT Storm_01.wav,Interior Wind Rain and Storms,Jake Fielding,https://sonniss.com/sound-effects/interior-wind-rain-and-storms/
AMBSwmp_Meadow Pipits calling many Insects humming Wind blowing through Grass_JSE_HoN_Stereo.wav,Highlands of Norway,Just Sound Effects,https://sonniss.com/sound-effects/highlands-of-norway/
WATRLap_Small Waves sloshing onto Rock Slabs at huge Glacial Lake _JSE_HoN_Quad.wav,Highlands of Norway,Just Sound Effects,https://sonniss.com/sound-effects/highlands-of-norway/
WATRWave_Medium Waves at Pebble Beach_JSE_RCoN_Stereo.wav,Rocky Coast of Norway,Just Sound Effects,https://sonniss.com/sound-effects/rocky-coast-of-norway/
WATRWave_Soft Waves Cliffs_JSE_RCoN_Stereo.wav,Rocky Coast of Norway,Just Sound Effects,https://sonniss.com/sound-effects/rocky-coast-of-norway/
SBbra_Bar E 001.wav,Bars & Restaurants Ambience,Sonic Bat,https://sonniss.com/sound-effects/bars-restaurants-ambience/
SBbra_Shopping Mall Food Court B 001.wav,Bars & Restaurants Ambience,Sonic Bat,https://sonniss.com/sound-effects/bars-restaurants-ambience/
SBfa_Distant Fireworks 005.wav,Fireworks Ambience,Sonic Bat,https://sonniss.com/sound-effects/fireworks-ambience/
SBfa_Fireworks 001.wav,Fireworks Ambience,Sonic Bat,https://sonniss.com/sound-effects/fireworks-ambience/
SBmb_Music Box A 013.wav,Music Boxes,Sonic Bat,https://sonniss.com/sound-effects/music-boxes/
SBmb_Music Box B 028.wav,Music Boxes,Sonic Bat,https://sonniss.com/sound-effects/music-boxes/
SBmb_Music Box C 059.wav,Music Boxes,Sonic Bat,https://sonniss.com/sound-effects/music-boxes/
SBmb_Music Box C Wind Up 006.wav,Music Boxes,Sonic Bat,https://sonniss.com/sound-effects/music-boxes/
SBsna_City Block Square Storm 003.wav,Stormy Night Ambience,Sonic Bat,https://sonniss.com/sound-effects/stormy-night-ambience/
SBspa_Water Polo Feminine League Match Presentation 001.wav,Swimming Pool Ambience,Sonic Bat,https://sonniss.com/sound-effects/swimming-pool-ambience/
SBspa_Water Polo Masculine League Break 001.wav,Swimming Pool Ambience,Sonic Bat,https://sonniss.com/sound-effects/swimming-pool-ambience/
SBvr_AM EQ Sweeping 002.wav,Vintage Radio,Sonic Bat,https://sonniss.com/sound-effects/vintage-radio/
SBvr_Mode Select Wheel 006.wav,Vintage Radio,Sonic Bat,https://sonniss.com/sound-effects/vintage-radio/
SBvr_Power Button 003.wav,Vintage Radio,Sonic Bat,https://sonniss.com/sound-effects/vintage-radio/
SBvma_Feminine League Match 017.wav,Volleyball Match Ambience,Sonic Bat,https://sonniss.com/sound-effects/volleyball-match-ambience/
SBvma_Masculine Regional Match 005.wav,Volleyball Match Ambience,Sonic Bat,https://sonniss.com/sound-effects/volleyball-match-ambience/
"CRWDCheer_Small Club, 50 People, Crowd, Spanish, Cheering and Applause-Surround_KSL_KS015.wav",Spanish Crowds,Sonik Sound Library,https://sonniss.com/sound-effects/spanish-crowds/
"CRWDWalla_Crowd, Walla, Movement, 30 People Working Film Crew, Preparing a Movie Set in a Warehouse, Spanish Hum of Voice, Decor Mount, Ladders, Warning Alarm, Light Contruction-Stereo_KSL_KS015.wav",Spanish Crowds,Sonik Sound Library,https://sonniss.com/sound-effects/spanish-crowds/
"CRWDWalla_Crowd, Walla, Dense Immersive Group of Adults, After or Befor a Show, Exterior, Spanish-Stereo_KSL_KS014.wav",Spanish Wallas,Sonik Sound Library,https://sonniss.com/sound-effects/spanish-wallas/
"CRWDWalla_Dinner Party Crowd in Terrace, Walla, Toast with Pomada, Mixed Group of Adults, Men and Women, Spanish, Catalan Language, Menorcan Language-Atmos_KSL_KS014.wav",Spanish Wallas,Sonik Sound Library,https://sonniss.com/sound-effects/spanish-wallas/
"AERORadio_Quadcopter, Toy, Flying Sustained Close to Mic_KSL_KS013.wav",Toy Quadcopter,Sonik Sound Library,https://sonniss.com/sound-effects/toy-quadcopter/
"AERORadio_Quadcopter, Toy, Turn On, Turn Off, Syncing, Calibrate, Beeps_KSL_KS013.wav",Toy Quadcopter,Sonik Sound Library,https://sonniss.com/sound-effects/toy-quadcopter/
"AMBTown_Ambience, Big Town, Streets, Valdemoro, Spain, Daytime, Brush Cutter, Far Traffica, Airplanes, People Activity, Spanish Voices-Stereo_KSL_KS016.wav",Urban Life,Sonik Sound Library,https://sonniss.com/sound-effects/urban-life/
"AMBUrbn_Ambience, City, Madrid, Spain, Soft Traffic and Human Activity, Some Birds-Surround_KSL_KS016.wav",Urban Life,Sonik Sound Library,https://sonniss.com/sound-effects/urban-life/
VEHCar_Various Driving at Slow Speed 15 06_SNDBTS_CRS-MMM.wav,Cars - Mad Mustang Mercury,SoundBits,https://sonniss.com/sound-effects/cars-mad-mustang-mercury/
VEHDoor_Car Foley Car Door Open and Close Exterior 04 Perspective A_SNDBTS_CRS-MMM.wav,Cars - Mad Mustang Mercury,SoundBits,https://sonniss.com/sound-effects/cars-mad-mustang-mercury/
VEHMech_Car Foey Gas and Brakes Pedals 08 B_SNDBTS_CRS-MMM.wav,Cars - Mad Mustang Mercury,SoundBits,https://sonniss.com/sound-effects/cars-mad-mustang-mercury/
VEHSkid_Tire Skids on Gravel 15 06_SNDBTS_CRS-MMM.wav,Cars - Mad Mustang Mercury,SoundBits,https://sonniss.com/sound-effects/cars-mad-mustang-mercury/
MOVEMisc_Honda CB750 Hornet Get On Bike Helmet On 02_SNDBTS_MCH.wav,Motorcycles - Honda,SoundBits,https://sonniss.com/sound-effects/motorcycles-honda/
VEHHorn_Honda CB500F Horn Long 02_SNDBTS_MCH.wav,Motorcycles - Honda,SoundBits,https://sonniss.com/sound-effects/motorcycles-honda/
VEHMoto_Honda CB500F Approach Fast Engine Stop 04_SNDBTS_MCH.wav,Motorcycles - Honda,SoundBits,https://sonniss.com/sound-effects/motorcycles-honda/
